SPID,Date,Claim Outcome,Promoter Score,Promoter Reason,Other,Data Supplier,Comments
SNP000008773,"Friday, 9 October 2020",Settled,9,CSE,,4, 
SNP000040607,"Friday, 2 April 2021",Declined,7,OOO,"Aptent torquent auctor tempor turpis scelerisque felis aenean massa risus, rutrum arcu nullam dictum inceptos malesuada aptent sit eros, adipiscing rhoncus mi ligula ante porta nostra inceptos",4, 
SNP000065851,"Saturday, 27 June 2020",Settled,6,CSE,,4, 
SNP000302434197,"Monday, 22 March 2021",Declined,4,COT,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP00032039115,"Friday, 23 April 2021",Declined,4,OOO,"Placerat class bibendum leo etiam consectetur iaculis consectetur suspendisse, etiam ad congue litora neque purus porttitor nunc, primis luctus arcu erat aenean etiam curabitur litora sed maecenas condimentum",4, 
SNP001047918,"Friday, 3 July 2020",Declined,1,CSE,,3, 
SNP001100872462,"Friday, 7 August 2020",Settled,10,CSE,,3,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP002025309,"Friday, 5 June 2020",Settled,10,OOO,"Amet aptent consectetur scelerisque varius tincidunt molestie adipiscing, vulputate et euismod bibendum vel mi faucibus pellentesque, platea lorem integer dui ipsum dapibus",4, 
SNP002064677,"Tuesday, 21 July 2020",Settled,6,CPT,,3, 
SNP002081601,"Monday, 16 November 2020",Settled,6,CPF,,4,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP0021203098,"Tuesday, 1 December 2020",Settled,9,CSE,,4, 
SNP00221013756,"Friday, 15 May 2020",Settled,9,CPF,,3, 
SNP0023629389,"Saturday, 16 January 2021",Settled,5,OOO,"Nibh diam imperdiet interdum non lobortis praesent, urna vehicula faucibus hac netus class senectus, bibendum viverra proin velit quisque mi rutrum tristique eget aptent quisque suspendisse mi placerat vehicula dolor",3, 
SNP003070511,"Tuesday, 20 October 2020",Settled,5,CPT,,4, 
SNP004019693,"Wednesday, 27 May 2020",Settled,10,CPF,,4, 
SNP004048679,"Tuesday, 9 March 2021",Declined,7,COT,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP004377610,"Wednesday, 24 February 2021",Declined,3,OOO,"Ornare hac libero sagittis tortor purus nibh nisl dictum, porttitor vivamus pretium quam urna primis fusce dapibus tempor, inceptos amet tempus nisi morbi elit amet",3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP00442051655,"Friday, 19 March 2021",Settled,9,COT,,4, 
SNP005097581,"Friday, 12 February 2021",Settled,9,CSE,,4, 
SNP00538476708,"Tuesday, 24 November 2020",Settled,9,COT,,3, 
SNP00544868390,"Sunday, 20 December 2020",Settled,6,CPF,,4, 
SNP00557677183,"Thursday, 11 June 2020",Declined,4,OOO,"Aptent torquent auctor tempor turpis scelerisque felis aenean massa risus, rutrum arcu nullam dictum inceptos malesuada aptent sit eros, adipiscing rhoncus mi ligula ante porta nostra inceptos",3, 
SNP0056002062,"Friday, 9 April 2021",Settled,5,CSE,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP00627024703,"Wednesday, 27 May 2020",Settled,7,OOO,"Placerat ullamcorper ultricies accumsan tempor porta et, sapien faucibus augue praesent metus ultrices, ante condimentum id molestie facilisis curabitur viverra et mauris curabitur orci arcu leo ullamcorper laoreet",4,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP00718994019,"Wednesday, 12 August 2020",Settled,9,CPT,,3, 
SNP007202509930,"Monday, 8 March 2021",Declined,5,OOO,"Placerat class bibendum leo etiam consectetur iaculis consectetur suspendisse, etiam ad congue litora neque purus porttitor nunc, primis luctus arcu erat aenean etiam curabitur litora sed maecenas condimentum",4, 
SNP0072094098,"Friday, 18 September 2020",Declined,1,CPT,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP0072163273,"Friday, 6 November 2020",Settled,10,COT,,4,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP00738455684,"Saturday, 22 August 2020",Declined,0,CPT,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP00781038670,"Sunday, 21 February 2021",Settled,6,COT,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP0078468092,"Saturday, 9 January 2021",Declined,4,COT,,3, 
SNP007959936,"Tuesday, 19 January 2021",Settled,5,COT,,4, 
SNP008069499,"Wednesday, 27 May 2020",Settled,6,CSE,,4, 
SNP008108000402,"Saturday, 2 May 2020",Declined,3,OOO,"Vel aliquam pulvinar inceptos senectus a ullamcorper feugiat elit elementum sem hendrerit, egestas posuere sociosqu pretium curabitur vestibulum etiam posuere imperdiet mauris",4, 
SNP008201652078,"Friday, 1 January 2021",Settled,9,CPT,,4, 
SNP00832022298,"Friday, 10 July 2020",Settled,7,OOO,"Amet aptent consectetur scelerisque varius tincidunt molestie adipiscing, vulputate et euismod bibendum vel mi faucibus pellentesque, platea lorem integer dui ipsum dapibus",3, 
SNP009036369,"Thursday, 11 February 2021",Settled,6,OOO,"Vel aliquam pulvinar inceptos senectus a ullamcorper feugiat elit elementum sem hendrerit, egestas posuere sociosqu pretium curabitur vestibulum etiam posuere imperdiet mauris",3,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP00914442974,"Sunday, 21 February 2021",Declined,1,OOO,"Est donec commodo sociosqu taciti vel augue luctus fames et ac praesent nec, quisque molestie sociosqu quam inceptos in bibendum egestas in pretium sit",4, 
SNP009162006208,"Saturday, 20 June 2020",Settled,10,CPF,,3, 
SNP00924037778,"Monday, 23 November 2020",Settled,6,CPT,,4, 
SNP00933690471,"Saturday, 13 June 2020",Settled,10,COT,,3, 
SNP010000743,"Sunday, 28 February 2021",Declined,2,CPF,,4, 
SNP010054554,"Saturday, 5 December 2020",Settled,9,CPT,,3, 
SNP010063659,"Tuesday, 9 February 2021",Declined,4,OOO,"Nibh diam imperdiet interdum non lobortis praesent, urna vehicula faucibus hac netus class senectus, bibendum viverra proin velit quisque mi rutrum tristique eget aptent quisque suspendisse mi placerat vehicula dolor",3, 
SNP01086495067,"Wednesday, 20 January 2021",Settled,9,COT,,4, 
SNP012033257,"Wednesday, 16 December 2020",Settled,5,OOO,"Purus etiam habitant eu libero ultrices turpis fames neque orci lobortis litora faucibus eu, orci sagittis placerat orci quisque etiam arcu sapien vitae maecenas lobortis",4, 
SNP012071304,"Tuesday, 12 January 2021",Declined,3,CSE,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP01218047936,"Monday, 15 February 2021",Declined,9,CPF,,4, 
SNP0121871303,"Monday, 4 May 2020",Declined,0,OOO,"Aptent torquent auctor tempor turpis scelerisque felis aenean massa risus, rutrum arcu nullam dictum inceptos malesuada aptent sit eros, adipiscing rhoncus mi ligula ante porta nostra inceptos",3, 
SNP013072025,"Wednesday, 18 November 2020",Declined,3,CSE,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP013079394,"Thursday, 14 May 2020",Declined,3,CSE,,3, 
SNP0133681490,"Tuesday, 4 August 2020",Declined,2,OOO,"Placerat ullamcorper ultricies accumsan tempor porta et, sapien faucibus augue praesent metus ultrices, ante condimentum id molestie facilisis curabitur viverra et mauris curabitur orci arcu leo ullamcorper laoreet",3, 
SNP014034775,"Tuesday, 10 November 2020",Settled,9,CPF,,3, 
SNP014038091,"Thursday, 25 June 2020",Settled,9,CPF,,3, 
SNP01412015493,"Sunday, 14 June 2020",Settled,9,COT,,4, 
SNP01424062631,"Monday, 20 April 2020",Declined,4,CPF,,4, 
SNP015017284,"Tuesday, 9 March 2021",Settled,4,CPF,,4, 
